             TEAM     P     W     L     D    GF    GA    PT    LG
          Arsenal    38    26     9     3    79    36    87    29
      Aston Villa    38    12    14    12    46    47    50    15
        Blackburn    38    12    10    16    55    51    46    15
           Bolton    38     9    13    16    44    62    40    12
         Charlton    38    10    14    14    38    49    44    13
          Chelsea    38    17    13     8    66    38    64    20
            Derby    38     8     6    24    33    63    30    11
          Everton    38    11    10    17    45    57    43    14
           Fulham    38    10    14    14    36    44    44    13
          Ipswich    38     9     9    20    41    64    36    12
            Leeds    38    18    12     8    53    37    66    21
        Leicester    38     5    13    20    30    64    28     8
        Liverpool    38    24     8     6    67    30    80    27
Manchester United    38    24     5     9    87    45    77    27
    Middlesbrough    38    12     9    17    35    47    45    15
        Newcastle    38    21     8     9    74    52    71    24
      Southampton    38    12     9    17    46    54    45    15
       Sunderland    38    10    10    18    29    51    40    13
        Tottenham    38    14     8    16    49    53    50    17
         West Ham    38    15     8    15    48    57    53    18
